objectid,filename,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Bella001,BellaSleepingCloseUp.jpg,Sleeping,image/jpeg,Bella sleeping on my couch looking peaceful.,"Volk, Jessica",,11-08-2025,,image,Dog adoption; Mixed breed dogs; Sleep,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella002,BellaArguing.jpg,Argumentative,image/jpeg,Bella arguing with her uncle over more treats,"Volk, Jessica",,11-10-2025,,image,Dog adoption; Mixed breed dogs; ,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella003,BellaasMrsKravitz.jpg,Nosy Dog,image/jpeg,Bella being nosy and spying on the neighbors,"Volk, Jessica",,11-13-2025,,image,Dog adoption; Mixed breed dogs; ,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella004,BellaSittingLikeAHuman.jpg,Holding court,image/jpeg,Bella sitting on the couch holding court.  She is a princess and knows the power she holds over us mere humans.,"Volk, Jessica",,11-10-2025,,image,Dog adoption; Mixed breed dogs; Posture,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella005,Waiting.jpg,Waiting,image/jpeg,Bella waiting for mom to come back from vacation,"Volk, Jessica",,11-07-2025,,image,Dog adoption; Mixed breed dogs; ,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella006,CurledUp.jpg,Curled Up,image/jpeg,Curled up asleep after a long day of walks with her uncle and playing with her brother.,"Volk, Jessica",,11-07-2025,,image,Dog adoption; Mixed breed dogs; Sleep,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella007,SadBella.jpg,Sad,image/jpeg,Bella did not win the treat argument against her uncle,"Volk, Jessica",,11-15-2025,,image,Dog adoption; Mixed breed dogs; ,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella008,Why.jpg,Why,image/jpeg,Why does she fold herself up like this?,"Volk, Jessica",,11-16-2025,,image,Dog adoption; Mixed breed dogs; Sleep,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella009,Posing.jpg,Posing,image/jpeg,I told Bella I was taking a picture of her and this is how she reacted and sat.,"Volk, Jessica",,11-11-2025,,image,Dog adoption; Mixed breed dogs; Posture,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella010,Sohappy.jpg,Happy,image/jpeg,Bella is so happy that mom and dad are back!,"Volk, Jessica",,11-16-2025,,image,Dog adoption; Mixed breed dogs; Home,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella011,Theyreback.jpg,They're Back,image/jpeg,Bella telling dad that they are never allowed to leave her again!  (Except that they will be going on another vacation in June and I get to dog-sit her again!  Bella does not know this yet!),"Volk, Jessica",,11-16-2025,,image,Dog adoption; Mixed breed dogs; Home,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
Bella012,WorkedHard.jpg,Worked Hard,image/jpeg,Bella tired herself out barking at the squirrels and any leaf that passed by the window.,"Volk, Jessica",,11-14-2025,,image,Dog adoption; Mixed breed dogs; Sleep,"Greensboro, NC",,,,,"""C:\Users\javol\OneDrive\Pictures\Bella\BellaGitHub""",,,,,,,,
